Crew,EVA_number,EVA_time
John Grunsfeld,8,3510.0
Jerry Ross,9,3501.0
Mike Lopez-Alegria,8,3344.0
Anatoly Solovyev,10,3086.0
Sunita Williams,7,3040.0
Steve Smith,7,2988.0
Mike Fincke,9,2916.0
Mike Fossum,7,2912.0
Steve Bowen,7,2838.0
Scott Parazynski,7,2825.0
Joe Tanner,7,2789.0
Nikola Budarin,9,2672.0
Andrew Feustel,6,2538.0
Rick Linnehan,6,2531.0
Sergei Avdeyev,10,2518.0
Dave Wolf,7,2516.0
Sergei Krikalev,8,2488.0
Piers Sellers,6,2470.0
Pavel Vinogradov,7,2419.0
Peggy Whitson,6,2386.0
Dan Tani,6,2351.0
Victor Afanasyev,7,2314.0
Rick Mastracchio,6,2311.0
Vladimir Dezhurov,9,2257.0
Rex Walheim,5,2183.0
Leroy Chiao,6,2176.0
Jim Newman,5,2168.0
Danny Olivas,5,2068.0
Musa Manarov,7,2058.0
Heide Stefanyshyn-Piper,5,2022.0
Mike Foreman,5,1939.0
Anatoli Artsebarsky,6,1937.0
Alexandr Serebrov,10,1913.0
Leonid Kizim,8,1889.0
Vladimir Solovyov,8,1889.0
Chris Cassidy,6,1875.0
Fyodor Yurchikhin,5,1863.0
Yuri Usachev,7,1849.0
Mike Massimino,4,1844.0
Jim Reilly,5,1843.0
Yuri Onufrenko,6,1830.0
Talgat Musabeyev,6,1808.0
Anatoli Solovyov,6,1753.0
Ron Garan,4,1623.0
Gennady Padalka,7,1601.0
Steve Swanson,4,1582.0
Story Musgrave,4,1579.0
Mark Lee,4,1561.0
Dan Barry,4,1549.0
Robert Curbeam,4,1545.0
Mikhail Tyurin,5,1532.0
Tom Marshburn,4,1469.0
Bill McArthur,4,1462.0
Eugene Cernan,5,1460.0
Mike Gernhardt,4,1396.0
Tracy Caldwell Dyson,3,1369.0
Doug Wheellock,3,1369.0
Jim Voss,4,1365.0
Mike Foale,4,1364.0
Valery Korzun,4,1339.0
Harrison Schmidt,4,1333.0
Jeff Hoffman ,3,1322.0
Gennady Strekalov,6,1322.0
Alexander Kaleri,4,1318.0
James Van Hoften,4,1296.0
Akihiko Hoshide ,3,1283.0
Garrett Reisman,3,1272.0
Kathy Thornton,3,1270.0
Tom Akers,3,1270.0
Doug Wheelock,3,1241.0
John Young,4,1218.0
Clayton Anderson ,3,1218.0
Charles Duke,4,1218.0
Soichi Noguchi,3,1205.0
Steve Robinson,3,1205.0
Alexander Misurkin ,3,1201.0
David Scott,7,1200.0
John Herrington,3,1195.0
Jeff Wisoff,3,1193.0
Tom Jones,4,1189.0
Bob Curbeam,3,1189.0
Alexandr Viktorenko,6,1184.0
Winston Scott,3,1175.0
F. Chang-Diaz,3,1170.0
Philippe Perrin ,3,1170.0
Carlos Noriega,3,1160.0
Robert Behnken,3,1159.0
Jeff Williams,3,1149.0
Carl Walz,3,1137.0
James Irwin,4,1120.0
Sergei Volkov,3,1116.0
Vladimir Titov,4,1113.0
Greg Harbaugh,3,1109.0
Oleg Kononenko,3,1108.0
Christer Fuglesang,3,1094.0
Nick Patrick,3,1093.0
Bob Behnken,3,1093.0
Clay Anderson,3,1091.0
Yuri Malenchenko,3,1085.0
Dave Williams,3,1067.0
Oleg Skripochka,3,1001.0
Mike Good ,2,958.0
Gerald Carr,3,949.0
Stan Love,2,923.0
Chris Hadfield,2,890.0
Thomas Reiter,3,856.0
Valeri Tsibliyev,5,852.0
Lee Morin ,2,847.0
Michael Good,2,835.0
Pat Forrester,2,825.0
Owen Garriott,3,823.0
Greg Chamitoff,2,823.0
Christer Fugelsang,2,820.0
Bill Pogue,2,814.0
Ken Bowersox,2,797.0
Don Pettit,2,797.0
Fyodor Yurchikin,2,789.0
Gennady Manakov,3,782.0
Joseph Acaba,2,777.0
Shane Kimbrough,2,772.0
Alvin Drew ,2,768.0
Takao Doi,2,762.0
Richard Arnold,2,754.0
Pete Conrad,6,753.0
Woody Spring,2,746.0
Robert Satcher,2,739.0
Bob Stewart,2,725.0
Bruce McCandless,3,725.0
Michael Lopez-Alegria,2,716.0
Dale Gardner,2,710.0
Randy Bresnick,2,710.0
Joe Allen,3,710.0
Dan Bursch,2,708.0
Patrick Forrester,2,705.0
Bill Fisher,2,698.0
Talgat Musabeyev ,2,670.0
Valeri Tokarev,2,666.0
Jack Lousma,2,662.0
Oleg Kotov ,2,662.0
Alexandr Balandin,2,652.0
Yuri Lonchakov,2,627.0
Jay Apt,2,626.0
Linda Godwin,2,615.0
Yuri Romanenko,4,615.0
Dmitry Kondratiev,2,614.0
Allen Bean,4,613.0
Alexandr Volkov,2,610.0
Salizhan Sharipov,2,598.0
George Nelson,2,598.0
Alexandr Poleshchuk,2,597.0
Ed Mitchell,3,567.0
Alan Shepard,3,567.0
Pierre Thuot,2,553.0
Rick Hieb,2,553.0
Susan Helms,1,536.0
Ed Gibson ,2,528.0
Alexandr Laveykin,3,527.0
Vladimir Dzhanibekov,2,512.0
Thuot/Hieb/Akers,1,509.0
Claude Nicollier,1,490.0
Buzz Aldrin,5,487.0
Tammy Jernigan,2,475.0
Fyodor Yurchikhin ,1,461.0
Luca Parmitano ,2,459.0
Steve MacLean,1,431.0
Dan Burbank,1,431.0
Vladimir Lyakhov,3,427.0
Jim Newman ,1,425.0
Carl Meade ,1,411.0
Hans Schlegel ,1,405.0
Mikhail Kornienko,1,402.0
Roman Romanenko,1,398.0
Nicole Stott ,1,395.0
Ed Gibson,1,393.0
Alexander Samokutyaev ,1,383.0
Andy Thomas,1,381.0
Paul Richards,1,381.0
G. Padelka,2,380.0
Jean-Pierre Heignere,1,379.0
Anton Shkaplerov,1,375.0
Yuri Malenchecko,1,374.0
Edward Lu,1,374.0
Rich Clifford,1,363.0
Yri Onufrienko,1,363.0
Yuri Onufrienko,1,359.0
Jean-Louc Chretien,1,357.0
Yuri Malenchenko ,1,351.0
David Low,1,350.0
Oleg Kotov,1,344.0
Maxim Suraev,1,344.0
Alexandr Alexandrov ,2,344.0
Tim Kopra,1,332.0
Sergei Zaletin,1,330.0
Sergei Treschev,1,321.0
Mike Barratt,2,306.0
Frank Culbertson,1,304.0
John Phillips,1,298.0
Victor Savinykh,1,298.0
Jerry Linenger,1,297.0
Valeri Tsibliev,1,297.0
Bernard Harris,1,279.0
Mario Runco,1,268.0
Don Peterson,1,257.0
Joe Kerwin,3,245.0
Yuri Gidzenko,2,218.0
Svetlana Savitskaya,1,214.0
Dave Leestma,1,209.0
Kathy Sullivan,2,209.0
Dave Griggs,1,190.0
Jeff Hoffman,1,190.0
Richard Gordon,2,174.0
Neil Armstrong,2,157.0
Anatoli Berezovsky,1,153.0
Valentin Lebedev,1,153.0
Paul Weitz,3,136.0
Vladimir Kovalyonok,1,125.0
Alexandr Ivanchenkov ,1,125.0
Alexandr Kaleri,1,123.0
Mike Collins,2,89.0
Georgi Grechko,1,88.0
Valeri Ryumin,1,83.0
Tom Mattingly,1,83.0
Ron Evans,1,67.0
Russ Schweickart,1,51.0
Al Worden,1,39.0
Aleksei Yeliseyov,1,37.0
Yevgeni Khrunov,1,37.0
Ed White,1,36.0
Alexei Leonov,1,12.0
Victor Lazerov,1,0.0
Bill Lenoir,1,0.0
Oleg Makarov,1,0.0
